Started at: 10:07:28

📌 Processing: /DATA/rohan_kirti/country/indonesia/HBQ/Indonesia_HBQ.xlsx
✅ Saved → HBQ | badminton | Row 0
✅ Saved → HBQ | tarung derajat | Row 51
✅ Saved → HBQ | tarung derajat | Row 52
✅ Saved → HBQ | tarung derajat | Row 53
✅ Saved → HBQ | tarung derajat | Row 54
✅ Saved → HBQ | tarung derajat | Row 55
✅ Saved → HBQ | tarung derajat | Row 56
✅ Saved → HBQ | tarung derajat | Row 57
✅ Saved → HBQ | tarung derajat | Row 58
✅ Saved → HBQ | tarung derajat | Row 59
✅ Saved → HBQ | tarung derajat | Row 60
✅ Saved → HBQ | tarung derajat | Row 61
✅ Saved → HBQ | tarung derajat | Row 62
✅ Saved → HBQ | tarung derajat | Row 63
✅ Saved → HBQ | tarung derajat | Row 64
✅ Saved → HBQ | tarung derajat | Row 65
✅ Saved → HBQ | tarung derajat | Row 66
✅ Saved → HBQ | tarung derajat | Row 67
✅ Saved → HBQ | tarung derajat | Row 68
✅ Saved → HBQ | tarung derajat | Row 69
✅ Saved → HBQ | tarung derajat | Row 70
✅ Saved → HBQ | tarung derajat | Row 71
✅ Saved → HBQ | tarung derajat | Row 72
✅ Saved → HBQ | tarung derajat | Row 73
✅ Saved → HBQ | tarung derajat | Row 74
✅ Saved → HBQ | tarung derajat | Row 75
✅ Saved → HBQ | tarung derajat | Row 76
✅ Saved → HBQ | tarung derajat | Row 77
✅ Saved → HBQ | tarung derajat | Row 78
✅ Saved → HBQ | tarung derajat | Row 79
✅ Saved → HBQ | tarung derajat | Row 80
✅ Saved → HBQ | tarung derajat | Row 81
✅ Saved → HBQ | tarung derajat | Row 82
✅ Saved → HBQ | tarung derajat | Row 83
✅ Saved → HBQ | tarung derajat | Row 84
✅ Saved → HBQ | tarung derajat | Row 85
✅ Saved → HBQ | tarung derajat | Row 86
✅ Saved → HBQ | tarung derajat | Row 87
✅ Saved → HBQ | tarung derajat | Row 88
✅ Saved → HBQ | tarung derajat | Row 89
✅ Saved → HBQ | tarung derajat | Row 90
✅ Saved → HBQ | tarung derajat | Row 91
✅ Saved → HBQ | tarung derajat | Row 92
✅ Saved → HBQ | tarung derajat | Row 93
✅ Saved → HBQ | tarung derajat | Row 94
✅ Saved → HBQ | tarung derajat | Row 95
✅ Saved → HBQ | tarung derajat | Row 96
✅ Saved → HBQ | tarung derajat | Row 97
✅ Saved → HBQ | tarung derajat | Row 98
✅ Saved → HBQ | tarung derajat | Row 99
✅ Saved → HBQ | tarung derajat | Row 100
✅ Saved → HBQ | tarung derajat | Row 101
✅ Saved → HBQ | tarung derajat | Row 102
✅ Saved → HBQ | tarung derajat | Row 103
✅ Saved → HBQ | tarung derajat | Row 104
✅ Saved → HBQ | tarung derajat | Row 105
✅ Saved → HBQ | tarung derajat | Row 106
✅ Saved → HBQ | tarung derajat | Row 107
✅ Saved → HBQ | tarung derajat | Row 108
✅ Saved → HBQ | tarung derajat | Row 109
✅ Saved → HBQ | tarung derajat | Row 110
✅ Saved → HBQ | tarung derajat | Row 111
✅ Saved → HBQ | tarung derajat | Row 112
✅ Saved → HBQ | tarung derajat | Row 113
✅ Saved → HBQ | tarung derajat | Row 114
✅ Saved → HBQ | tarung derajat | Row 115
✅ Saved → HBQ | tarung derajat | Row 116
✅ Saved → HBQ | tarung derajat | Row 117
✅ Saved → HBQ | tarung derajat | Row 118
✅ Saved → HBQ | tarung derajat | Row 119
✅ Saved → HBQ | tarung derajat | Row 120
✅ Saved → HBQ | tarung derajat | Row 121
✅ Saved → HBQ | tarung derajat | Row 122
✅ Saved → HBQ | tarung derajat | Row 123
✅ Saved → HBQ | tarung derajat | Row 124
✅ Saved → HBQ | tarung derajat | Row 125
✅ Saved → HBQ | tarung derajat | Row 126
✅ Saved → HBQ | tarung derajat | Row 127
✅ Saved → HBQ | tarung derajat | Row 128
✅ Saved → HBQ | tarung derajat | Row 129
✅ Saved → HBQ | tarung derajat | Row 130
✅ Saved → HBQ | tarung derajat | Row 131
✅ Saved → HBQ | tarung derajat | Row 132
✅ Saved → HBQ | tarung derajat | Row 133
✅ Saved → HBQ | tarung derajat | Row 134
✅ Saved → HBQ | tarung derajat | Row 135
✅ Saved → HBQ | tarung derajat | Row 136
✅ Saved → HBQ | tarung derajat | Row 137
✅ Saved → HBQ | tarung derajat | Row 138
✅ Saved → HBQ | tarung derajat | Row 139
✅ Saved → HBQ | tarung derajat | Row 140
✅ Saved → HBQ | tarung derajat | Row 141
✅ Saved → HBQ | tarung derajat | Row 142
✅ Saved → HBQ | tarung derajat | Row 143
✅ Saved → HBQ | tarung derajat | Row 144
✅ Saved → HBQ | tarung derajat | Row 145
✅ Saved → HBQ | tarung derajat | Row 146
✅ Saved → HBQ | tarung derajat | Row 147
✅ Saved → HBQ | tarung derajat | Row 148
✅ Saved → HBQ | tarung derajat | Row 149
✅ Saved → HBQ | pencak silat | Row 0
✅ Saved → HBQ | pencak silat | Row 1
✅ Saved → HBQ | pencak silat | Row 2
✅ Saved → HBQ | pencak silat | Row 3
✅ Saved → HBQ | pencak silat | Row 4
✅ Saved → HBQ | pencak silat | Row 5
✅ Saved → HBQ | pencak silat | Row 6
✅ Saved → HBQ | pencak silat | Row 7
✅ Saved → HBQ | pencak silat | Row 8
✅ Saved → HBQ | pencak silat | Row 9
✅ Saved → HBQ | pencak silat | Row 10
✅ Saved → HBQ | pencak silat | Row 11
✅ Saved → HBQ | pencak silat | Row 12
✅ Saved → HBQ | pencak silat | Row 13
✅ Saved → HBQ | pencak silat | Row 14
✅ Saved → HBQ | pencak silat | Row 15
✅ Saved → HBQ | pencak silat | Row 16
✅ Saved → HBQ | pencak silat | Row 17
✅ Saved → HBQ | pencak silat | Row 18
✅ Saved → HBQ | pencak silat | Row 19
✅ Saved → HBQ | pencak silat | Row 20
✅ Saved → HBQ | pencak silat | Row 21
✅ Saved → HBQ | pencak silat | Row 22
✅ Saved → HBQ | pencak silat | Row 23
✅ Saved → HBQ | pencak silat | Row 24
✅ Saved → HBQ | pencak silat | Row 25
✅ Saved → HBQ | pencak silat | Row 26
✅ Saved → HBQ | pencak silat | Row 27
✅ Saved → HBQ | pencak silat | Row 28
✅ Saved → HBQ | pencak silat | Row 29
✅ Saved → HBQ | pencak silat | Row 30
✅ Saved → HBQ | pencak silat | Row 31
✅ Saved → HBQ | pencak silat | Row 32
✅ Saved → HBQ | pencak silat | Row 33
✅ Saved → HBQ | pencak silat | Row 34
✅ Saved → HBQ | pencak silat | Row 35
✅ Saved → HBQ | pencak silat | Row 36
✅ Saved → HBQ | pencak silat | Row 37
✅ Saved → HBQ | pencak silat | Row 38
✅ Saved → HBQ | pencak silat | Row 39
✅ Saved → HBQ | pencak silat | Row 40
✅ Saved → HBQ | pencak silat | Row 41
✅ Saved → HBQ | pencak silat | Row 42
✅ Saved → HBQ | pencak silat | Row 43
✅ Saved → HBQ | pencak silat | Row 44
✅ Saved → HBQ | pencak silat | Row 45
✅ Saved → HBQ | pencak silat | Row 46
✅ Saved → HBQ | pencak silat | Row 47
✅ Saved → HBQ | pencak silat | Row 48
✅ Saved → HBQ | pencak silat | Row 49
✅ Saved → HBQ | pencak silat | Row 50
✅ Saved → HBQ | pencak silat | Row 51
✅ Saved → HBQ | pencak silat | Row 52
✅ Saved → HBQ | pencak silat | Row 53
✅ Saved → HBQ | pencak silat | Row 54
✅ Saved → HBQ | pencak silat | Row 55
✅ Saved → HBQ | pencak silat | Row 56
✅ Saved → HBQ | pencak silat | Row 57
✅ Saved → HBQ | pencak silat | Row 58
✅ Saved → HBQ | pencak silat | Row 59
✅ Saved → HBQ | pencak silat | Row 60
✅ Saved → HBQ | pencak silat | Row 61
✅ Saved → HBQ | pencak silat | Row 62
✅ Saved → HBQ | pencak silat | Row 63
✅ Saved → HBQ | pencak silat | Row 64
✅ Saved → HBQ | pencak silat | Row 65
✅ Saved → HBQ | pencak silat | Row 66
✅ Saved → HBQ | pencak silat | Row 67
✅ Saved → HBQ | pencak silat | Row 68
✅ Saved → HBQ | pencak silat | Row 69
✅ Saved → HBQ | pencak silat | Row 70
✅ Saved → HBQ | pencak silat | Row 71
✅ Saved → HBQ | pencak silat | Row 72
✅ Saved → HBQ | pencak silat | Row 73
✅ Saved → HBQ | pencak silat | Row 74
✅ Saved → HBQ | pencak silat | Row 75
✅ Saved → HBQ | pencak silat | Row 76
✅ Saved → HBQ | pencak silat | Row 77
✅ Saved → HBQ | pencak silat | Row 78
✅ Saved → HBQ | pencak silat | Row 79
✅ Saved → HBQ | pencak silat | Row 80
✅ Saved → HBQ | pencak silat | Row 81
✅ Saved → HBQ | pencak silat | Row 82
✅ Saved → HBQ | pencak silat | Row 83
✅ Saved → HBQ | pencak silat | Row 84
✅ Saved → HBQ | pencak silat | Row 85
✅ Saved → HBQ | pencak silat | Row 86
✅ Saved → HBQ | pencak silat | Row 87
✅ Saved → HBQ | pencak silat | Row 88
✅ Saved → HBQ | pencak silat | Row 89
✅ Saved → HBQ | pencak silat | Row 90
✅ Saved → HBQ | pencak silat | Row 91
✅ Saved → HBQ | pencak silat | Row 92
✅ Saved → HBQ | pencak silat | Row 93
✅ Saved → HBQ | pencak silat | Row 94
✅ Saved → HBQ | pencak silat | Row 95
✅ Saved → HBQ | pencak silat | Row 96
✅ Saved → HBQ | pencak silat | Row 97
✅ Saved → HBQ | pencak silat | Row 98
✅ Saved → HBQ | pencak silat | Row 99
✅ Saved → HBQ | pencak silat | Row 100
✅ Saved → HBQ | pencak silat | Row 101
✅ Saved → HBQ | pencak silat | Row 102
✅ Saved → HBQ | pencak silat | Row 103
✅ Saved → HBQ | pencak silat | Row 104
✅ Saved → HBQ | pencak silat | Row 105
✅ Saved → HBQ | pencak silat | Row 106
✅ Saved → HBQ | pencak silat | Row 107
✅ Saved → HBQ | pencak silat | Row 108
✅ Saved → HBQ | pencak silat | Row 109
✅ Saved → HBQ | pencak silat | Row 110
✅ Saved → HBQ | pencak silat | Row 111
✅ Saved → HBQ | pencak silat | Row 112
✅ Saved → HBQ | pencak silat | Row 113
✅ Saved → HBQ | pencak silat | Row 114
✅ Saved → HBQ | pencak silat | Row 115
✅ Saved → HBQ | pencak silat | Row 116
✅ Saved → HBQ | pencak silat | Row 117
✅ Saved → HBQ | pencak silat | Row 118
✅ Saved → HBQ | pencak silat | Row 119
✅ Saved → HBQ | pencak silat | Row 120
✅ Saved → HBQ | pencak silat | Row 121
✅ Saved → HBQ | pencak silat | Row 122
✅ Saved → HBQ | pencak silat | Row 123
✅ Saved → HBQ | pencak silat | Row 124
✅ Saved → HBQ | pencak silat | Row 125
✅ Saved → HBQ | pencak silat | Row 126
✅ Saved → HBQ | pencak silat | Row 127
✅ Saved → HBQ | pencak silat | Row 128
✅ Saved → HBQ | pencak silat | Row 129
✅ Saved → HBQ | pencak silat | Row 130
✅ Saved → HBQ | pencak silat | Row 131
✅ Saved → HBQ | pencak silat | Row 132
✅ Saved → HBQ | pencak silat | Row 133
✅ Saved → HBQ | pencak silat | Row 134
✅ Saved → HBQ | pencak silat | Row 135
✅ Saved → HBQ | pencak silat | Row 136
✅ Saved → HBQ | pencak silat | Row 137
✅ Saved → HBQ | pencak silat | Row 138
✅ Saved → HBQ | pencak silat | Row 139
✅ Saved → HBQ | pencak silat | Row 140
✅ Saved → HBQ | pencak silat | Row 141
✅ Saved → HBQ | pencak silat | Row 142
✅ Saved → HBQ | pencak silat | Row 143
✅ Saved → HBQ | pencak silat | Row 144
✅ Saved → HBQ | pencak silat | Row 145
✅ Saved → HBQ | pencak silat | Row 146
✅ Saved → HBQ | pencak silat | Row 147
✅ Saved → HBQ | pencak silat | Row 148
✅ Saved → HBQ | pencak silat | Row 149

✅ COMPLETE!
📄 Live-updating CSV: /DATA/rohan_kirti/country/indonesia/HBQ/Results_HBQ.csv
Ended at: 10:43:55
Total Duration: 0:36:26.635306
✅ Successfully created '/DATA/rohan_kirti/country/indonesia/HBQ/Results_HBQ.xlsx'
