Started at: 09:20:12
SBQ

📌 Processing: /DATA/rohan_kirti/country/germany/SBQ/SBQ_Germany.xlsx
Rowing (Rudern)
✅ Saved → SBQ | Rowing (Rudern) | Row 0
✅ Saved → SBQ | Bosseln | Row 162
✅ Saved → SBQ | Bosseln | Row 163
✅ Saved → SBQ | Bosseln | Row 164
✅ Saved → SBQ | Bosseln | Row 165
✅ Saved → SBQ | Bosseln | Row 166
Radball (Cycle Ball)
✅ Saved → SBQ | Radball (Cycle Ball) | Row 0
✅ Saved → SBQ | Radball (Cycle Ball) | Row 1
✅ Saved → SBQ | Radball (Cycle Ball) | Row 2
✅ Saved → SBQ | Radball (Cycle Ball) | Row 3
✅ Saved → SBQ | Radball (Cycle Ball) | Row 4
✅ Saved → SBQ | Radball (Cycle Ball) | Row 5
✅ Saved → SBQ | Radball (Cycle Ball) | Row 6
✅ Saved → SBQ | Radball (Cycle Ball) | Row 7
✅ Saved → SBQ | Radball (Cycle Ball) | Row 8
✅ Saved → SBQ | Radball (Cycle Ball) | Row 9
✅ Saved → SBQ | Radball (Cycle Ball) | Row 10
✅ Saved → SBQ | Radball (Cycle Ball) | Row 11
✅ Saved → SBQ | Radball (Cycle Ball) | Row 12
✅ Saved → SBQ | Radball (Cycle Ball) | Row 13
✅ Saved → SBQ | Radball (Cycle Ball) | Row 14
✅ Saved → SBQ | Radball (Cycle Ball) | Row 15
✅ Saved → SBQ | Radball (Cycle Ball) | Row 16
✅ Saved → SBQ | Radball (Cycle Ball) | Row 17
✅ Saved → SBQ | Radball (Cycle Ball) | Row 18
✅ Saved → SBQ | Radball (Cycle Ball) | Row 19
✅ Saved → SBQ | Radball (Cycle Ball) | Row 20
✅ Saved → SBQ | Radball (Cycle Ball) | Row 21
✅ Saved → SBQ | Radball (Cycle Ball) | Row 22
✅ Saved → SBQ | Radball (Cycle Ball) | Row 23
✅ Saved → SBQ | Radball (Cycle Ball) | Row 24
✅ Saved → SBQ | Radball (Cycle Ball) | Row 25
✅ Saved → SBQ | Radball (Cycle Ball) | Row 26
✅ Saved → SBQ | Radball (Cycle Ball) | Row 27
✅ Saved → SBQ | Radball (Cycle Ball) | Row 28
✅ Saved → SBQ | Radball (Cycle Ball) | Row 29
✅ Saved → SBQ | Radball (Cycle Ball) | Row 30
✅ Saved → SBQ | Radball (Cycle Ball) | Row 31
✅ Saved → SBQ | Radball (Cycle Ball) | Row 32
✅ Saved → SBQ | Radball (Cycle Ball) | Row 33
✅ Saved → SBQ | Radball (Cycle Ball) | Row 34
✅ Saved → SBQ | Radball (Cycle Ball) | Row 35
✅ Saved → SBQ | Radball (Cycle Ball) | Row 36
✅ Saved → SBQ | Radball (Cycle Ball) | Row 37
✅ Saved → SBQ | Radball (Cycle Ball) | Row 38
✅ Saved → SBQ | Radball (Cycle Ball) | Row 39
✅ Saved → SBQ | Radball (Cycle Ball) | Row 40
✅ Saved → SBQ | Radball (Cycle Ball) | Row 41
✅ Saved → SBQ | Radball (Cycle Ball) | Row 42
✅ Saved → SBQ | Radball (Cycle Ball) | Row 43
✅ Saved → SBQ | Radball (Cycle Ball) | Row 44
✅ Saved → SBQ | Radball (Cycle Ball) | Row 45
✅ Saved → SBQ | Radball (Cycle Ball) | Row 46
✅ Saved → SBQ | Radball (Cycle Ball) | Row 47
✅ Saved → SBQ | Radball (Cycle Ball) | Row 48
✅ Saved → SBQ | Radball (Cycle Ball) | Row 49
✅ Saved → SBQ | Radball (Cycle Ball) | Row 50
✅ Saved → SBQ | Radball (Cycle Ball) | Row 51
✅ Saved → SBQ | Radball (Cycle Ball) | Row 52
✅ Saved → SBQ | Radball (Cycle Ball) | Row 53
✅ Saved → SBQ | Radball (Cycle Ball) | Row 54
✅ Saved → SBQ | Radball (Cycle Ball) | Row 55
✅ Saved → SBQ | Radball (Cycle Ball) | Row 56
✅ Saved → SBQ | Radball (Cycle Ball) | Row 57
✅ Saved → SBQ | Radball (Cycle Ball) | Row 58
✅ Saved → SBQ | Radball (Cycle Ball) | Row 59
✅ Saved → SBQ | Radball (Cycle Ball) | Row 60
✅ Saved → SBQ | Radball (Cycle Ball) | Row 61
✅ Saved → SBQ | Radball (Cycle Ball) | Row 62
✅ Saved → SBQ | Radball (Cycle Ball) | Row 63
✅ Saved → SBQ | Radball (Cycle Ball) | Row 64
✅ Saved → SBQ | Radball (Cycle Ball) | Row 65
✅ Saved → SBQ | Radball (Cycle Ball) | Row 66
✅ Saved → SBQ | Radball (Cycle Ball) | Row 67
✅ Saved → SBQ | Radball (Cycle Ball) | Row 68
✅ Saved → SBQ | Radball (Cycle Ball) | Row 69
✅ Saved → SBQ | Radball (Cycle Ball) | Row 70
✅ Saved → SBQ | Radball (Cycle Ball) | Row 71
✅ Saved → SBQ | Radball (Cycle Ball) | Row 72
✅ Saved → SBQ | Radball (Cycle Ball) | Row 73
✅ Saved → SBQ | Radball (Cycle Ball) | Row 74
✅ Saved → SBQ | Radball (Cycle Ball) | Row 75
✅ Saved → SBQ | Radball (Cycle Ball) | Row 76
✅ Saved → SBQ | Radball (Cycle Ball) | Row 77
✅ Saved → SBQ | Radball (Cycle Ball) | Row 78
✅ Saved → SBQ | Radball (Cycle Ball) | Row 79
✅ Saved → SBQ | Radball (Cycle Ball) | Row 80
✅ Saved → SBQ | Radball (Cycle Ball) | Row 81
✅ Saved → SBQ | Radball (Cycle Ball) | Row 82
✅ Saved → SBQ | Radball (Cycle Ball) | Row 83
✅ Saved → SBQ | Radball (Cycle Ball) | Row 84
✅ Saved → SBQ | Radball (Cycle Ball) | Row 85
✅ Saved → SBQ | Radball (Cycle Ball) | Row 86
✅ Saved → SBQ | Radball (Cycle Ball) | Row 87
✅ Saved → SBQ | Radball (Cycle Ball) | Row 88
✅ Saved → SBQ | Radball (Cycle Ball) | Row 89
✅ Saved → SBQ | Radball (Cycle Ball) | Row 90
✅ Saved → SBQ | Radball (Cycle Ball) | Row 91
✅ Saved → SBQ | Radball (Cycle Ball) | Row 92
✅ Saved → SBQ | Radball (Cycle Ball) | Row 93
✅ Saved → SBQ | Radball (Cycle Ball) | Row 94
✅ Saved → SBQ | Radball (Cycle Ball) | Row 95
✅ Saved → SBQ | Radball (Cycle Ball) | Row 96
✅ Saved → SBQ | Radball (Cycle Ball) | Row 97
✅ Saved → SBQ | Radball (Cycle Ball) | Row 98
✅ Saved → SBQ | Radball (Cycle Ball) | Row 99
✅ Saved → SBQ | Radball (Cycle Ball) | Row 100
✅ Saved → SBQ | Radball (Cycle Ball) | Row 101
✅ Saved → SBQ | Radball (Cycle Ball) | Row 102
✅ Saved → SBQ | Radball (Cycle Ball) | Row 103
✅ Saved → SBQ | Radball (Cycle Ball) | Row 104
✅ Saved → SBQ | Radball (Cycle Ball) | Row 105
✅ Saved → SBQ | Radball (Cycle Ball) | Row 106
✅ Saved → SBQ | Radball (Cycle Ball) | Row 107
✅ Saved → SBQ | Radball (Cycle Ball) | Row 108
✅ Saved → SBQ | Radball (Cycle Ball) | Row 109
✅ Saved → SBQ | Radball (Cycle Ball) | Row 110
✅ Saved → SBQ | Radball (Cycle Ball) | Row 111
✅ Saved → SBQ | Radball (Cycle Ball) | Row 112
✅ Saved → SBQ | Radball (Cycle Ball) | Row 113
✅ Saved → SBQ | Radball (Cycle Ball) | Row 114
✅ Saved → SBQ | Radball (Cycle Ball) | Row 115
✅ Saved → SBQ | Radball (Cycle Ball) | Row 116
✅ Saved → SBQ | Radball (Cycle Ball) | Row 117
✅ Saved → SBQ | Radball (Cycle Ball) | Row 118
✅ Saved → SBQ | Radball (Cycle Ball) | Row 119
✅ Saved → SBQ | Radball (Cycle Ball) | Row 120
✅ Saved → SBQ | Radball (Cycle Ball) | Row 121
✅ Saved → SBQ | Radball (Cycle Ball) | Row 122
✅ Saved → SBQ | Radball (Cycle Ball) | Row 123
✅ Saved → SBQ | Radball (Cycle Ball) | Row 124
✅ Saved → SBQ | Radball (Cycle Ball) | Row 125
✅ Saved → SBQ | Radball (Cycle Ball) | Row 126
✅ Saved → SBQ | Radball (Cycle Ball) | Row 127
✅ Saved → SBQ | Radball (Cycle Ball) | Row 128
✅ Saved → SBQ | Radball (Cycle Ball) | Row 129
✅ Saved → SBQ | Radball (Cycle Ball) | Row 130
✅ Saved → SBQ | Radball (Cycle Ball) | Row 131
✅ Saved → SBQ | Radball (Cycle Ball) | Row 132
✅ Saved → SBQ | Radball (Cycle Ball) | Row 133
✅ Saved → SBQ | Radball (Cycle Ball) | Row 134
✅ Saved → SBQ | Radball (Cycle Ball) | Row 135
✅ Saved → SBQ | Radball (Cycle Ball) | Row 136
✅ Saved → SBQ | Radball (Cycle Ball) | Row 137
✅ Saved → SBQ | Radball (Cycle Ball) | Row 138
✅ Saved → SBQ | Radball (Cycle Ball) | Row 139
✅ Saved → SBQ | Radball (Cycle Ball) | Row 140
✅ Saved → SBQ | Radball (Cycle Ball) | Row 141
✅ Saved → SBQ | Radball (Cycle Ball) | Row 142
✅ Saved → SBQ | Radball (Cycle Ball) | Row 143
✅ Saved → SBQ | Radball (Cycle Ball) | Row 144
✅ Saved → SBQ | Radball (Cycle Ball) | Row 145
✅ Saved → SBQ | Radball (Cycle Ball) | Row 146
Klootschießen
✅ Saved → SBQ | Klootschießen | Row 0
✅ Saved → SBQ | Klootschießen | Row 1
✅ Saved → SBQ | Klootschießen | Row 2
✅ Saved → SBQ | Klootschießen | Row 3
✅ Saved → SBQ | Klootschießen | Row 4
✅ Saved → SBQ | Klootschießen | Row 5
✅ Saved → SBQ | Klootschießen | Row 6
✅ Saved → SBQ | Klootschießen | Row 7
✅ Saved → SBQ | Klootschießen | Row 8
✅ Saved → SBQ | Klootschießen | Row 9
✅ Saved → SBQ | Klootschießen | Row 10
✅ Saved → SBQ | Klootschießen | Row 11
✅ Saved → SBQ | Klootschießen | Row 12
✅ Saved → SBQ | Klootschießen | Row 13
✅ Saved → SBQ | Klootschießen | Row 14
✅ Saved → SBQ | Klootschießen | Row 15
✅ Saved → SBQ | Klootschießen | Row 16
✅ Saved → SBQ | Klootschießen | Row 17
✅ Saved → SBQ | Klootschießen | Row 18
✅ Saved → SBQ | Klootschießen | Row 19
✅ Saved → SBQ | Klootschießen | Row 20
✅ Saved → SBQ | Klootschießen | Row 21
✅ Saved → SBQ | Klootschießen | Row 22
✅ Saved → SBQ | Klootschießen | Row 23
✅ Saved → SBQ | Klootschießen | Row 24
✅ Saved → SBQ | Klootschießen | Row 25
✅ Saved → SBQ | Klootschießen | Row 26
✅ Saved → SBQ | Klootschießen | Row 27
✅ Saved → SBQ | Klootschießen | Row 28
✅ Saved → SBQ | Klootschießen | Row 29
✅ Saved → SBQ | Klootschießen | Row 30
✅ Saved → SBQ | Klootschießen | Row 31
✅ Saved → SBQ | Klootschießen | Row 32
✅ Saved → SBQ | Klootschießen | Row 33
✅ Saved → SBQ | Klootschießen | Row 34
✅ Saved → SBQ | Klootschießen | Row 35
✅ Saved → SBQ | Klootschießen | Row 36
✅ Saved → SBQ | Klootschießen | Row 37
✅ Saved → SBQ | Klootschießen | Row 38
✅ Saved → SBQ | Klootschießen | Row 39
✅ Saved → SBQ | Klootschießen | Row 40
✅ Saved → SBQ | Klootschießen | Row 41
✅ Saved → SBQ | Klootschießen | Row 42
✅ Saved → SBQ | Klootschießen | Row 43
✅ Saved → SBQ | Klootschießen | Row 44
✅ Saved → SBQ | Klootschießen | Row 45
✅ Saved → SBQ | Klootschießen | Row 46
✅ Saved → SBQ | Klootschießen | Row 47
✅ Saved → SBQ | Klootschießen | Row 48
✅ Saved → SBQ | Klootschießen | Row 49
✅ Saved → SBQ | Klootschießen | Row 50
✅ Saved → SBQ | Klootschießen | Row 51
✅ Saved → SBQ | Klootschießen | Row 52
✅ Saved → SBQ | Klootschießen | Row 53
✅ Saved → SBQ | Klootschießen | Row 54
✅ Saved → SBQ | Klootschießen | Row 55
✅ Saved → SBQ | Klootschießen | Row 56
✅ Saved → SBQ | Klootschießen | Row 58
✅ Saved → SBQ | Klootschießen | Row 59
✅ Saved → SBQ | Klootschießen | Row 60
✅ Saved → SBQ | Klootschießen | Row 61
✅ Saved → SBQ | Klootschießen | Row 62
✅ Saved → SBQ | Klootschießen | Row 63
✅ Saved → SBQ | Klootschießen | Row 64
✅ Saved → SBQ | Klootschießen | Row 65
✅ Saved → SBQ | Klootschießen | Row 66
✅ Saved → SBQ | Klootschießen | Row 67
✅ Saved → SBQ | Klootschießen | Row 68
✅ Saved → SBQ | Klootschießen | Row 69
✅ Saved → SBQ | Klootschießen | Row 70
✅ Saved → SBQ | Klootschießen | Row 71
✅ Saved → SBQ | Klootschießen | Row 72
✅ Saved → SBQ | Klootschießen | Row 73
✅ Saved → SBQ | Klootschießen | Row 74
✅ Saved → SBQ | Klootschießen | Row 75
✅ Saved → SBQ | Klootschießen | Row 76
✅ Saved → SBQ | Klootschießen | Row 77
✅ Saved → SBQ | Klootschießen | Row 78
✅ Saved → SBQ | Klootschießen | Row 79
✅ Saved → SBQ | Klootschießen | Row 80
✅ Saved → SBQ | Klootschießen | Row 81
✅ Saved → SBQ | Klootschießen | Row 82
✅ Saved → SBQ | Klootschießen | Row 83
✅ Saved → SBQ | Klootschießen | Row 84
✅ Saved → SBQ | Klootschießen | Row 85
✅ Saved → SBQ | Klootschießen | Row 86
✅ Saved → SBQ | Klootschießen | Row 87
✅ Saved → SBQ | Klootschießen | Row 88
✅ Saved → SBQ | Klootschießen | Row 89
✅ Saved → SBQ | Klootschießen | Row 90
✅ Saved → SBQ | Klootschießen | Row 91
✅ Saved → SBQ | Klootschießen | Row 92
✅ Saved → SBQ | Klootschießen | Row 93
✅ Saved → SBQ | Klootschießen | Row 94
✅ Saved → SBQ | Klootschießen | Row 95
✅ Saved → SBQ | Klootschießen | Row 96
✅ Saved → SBQ | Klootschießen | Row 97
✅ Saved → SBQ | Klootschießen | Row 98
✅ Saved → SBQ | Klootschießen | Row 99
✅ Saved → SBQ | Klootschießen | Row 100
✅ Saved → SBQ | Klootschießen | Row 101
✅ Saved → SBQ | Klootschießen | Row 102
✅ Saved → SBQ | Klootschießen | Row 103
✅ Saved → SBQ | Klootschießen | Row 104
✅ Saved → SBQ | Klootschießen | Row 105
✅ Saved → SBQ | Klootschießen | Row 106
✅ Saved → SBQ | Klootschießen | Row 107
✅ Saved → SBQ | Klootschießen | Row 108
✅ Saved → SBQ | Klootschießen | Row 109
✅ Saved → SBQ | Klootschießen | Row 110
✅ Saved → SBQ | Klootschießen | Row 111
✅ Saved → SBQ | Klootschießen | Row 112
✅ Saved → SBQ | Klootschießen | Row 113
✅ Saved → SBQ | Klootschießen | Row 114
✅ Saved → SBQ | Klootschießen | Row 115
✅ Saved → SBQ | Klootschießen | Row 116
✅ Saved → SBQ | Klootschießen | Row 117
✅ Saved → SBQ | Klootschießen | Row 118
✅ Saved → SBQ | Klootschießen | Row 119
✅ Saved → SBQ | Klootschießen | Row 120
✅ Saved → SBQ | Klootschießen | Row 121
✅ Saved → SBQ | Klootschießen | Row 122
✅ Saved → SBQ | Klootschießen | Row 123
✅ Saved → SBQ | Klootschießen | Row 124
✅ Saved → SBQ | Klootschießen | Row 125
✅ Saved → SBQ | Klootschießen | Row 126
✅ Saved → SBQ | Klootschießen | Row 127
✅ Saved → SBQ | Klootschießen | Row 128
✅ Saved → SBQ | Klootschießen | Row 129
✅ Saved → SBQ | Klootschießen | Row 130
✅ Saved → SBQ | Klootschießen | Row 131
✅ Saved → SBQ | Klootschießen | Row 132
✅ Saved → SBQ | Klootschießen | Row 133
✅ Saved → SBQ | Klootschießen | Row 134
✅ Saved → SBQ | Klootschießen | Row 135
✅ Saved → SBQ | Klootschießen | Row 136
✅ Saved → SBQ | Klootschießen | Row 137
✅ Saved → SBQ | Klootschießen | Row 138
✅ Saved → SBQ | Klootschießen | Row 139
✅ Saved → SBQ | Klootschießen | Row 140
✅ Saved → SBQ | Klootschießen | Row 141
✅ Saved → SBQ | Klootschießen | Row 142
✅ Saved → SBQ | Klootschießen | Row 143
✅ Saved → SBQ | Klootschießen | Row 144
✅ Saved → SBQ | Klootschießen | Row 145
✅ Saved → SBQ | Klootschießen | Row 146
✅ Saved → SBQ | Klootschießen | Row 147
✅ Saved → SBQ | Klootschießen | Row 148
✅ Saved → SBQ | Klootschießen | Row 149
✅ Saved → SBQ | Klootschießen | Row 150
✅ Saved → SBQ | Klootschießen | Row 151
✅ Saved → SBQ | Klootschießen | Row 152
✅ Saved → SBQ | Klootschießen | Row 153
✅ Saved → SBQ | Klootschießen | Row 154
✅ Saved → SBQ | Klootschießen | Row 155
✅ Saved → SBQ | Klootschießen | Row 156
✅ Saved → SBQ | Klootschießen | Row 157
✅ Saved → SBQ | Klootschießen | Row 158
✅ Saved → SBQ | Klootschießen | Row 159
✅ Saved → SBQ | Klootschießen | Row 160
✅ Saved → SBQ | Klootschießen | Row 161
✅ Saved → SBQ | Klootschießen | Row 162
✅ Saved → SBQ | Klootschießen | Row 163
✅ Saved → SBQ | Klootschießen | Row 164
Quoits (Ringspiel)

✅ COMPLETE!
📄 Live-updating CSV: /DATA/rohan_kirti/country/germany/SBQ/Results_SBQ.csv
Ended at: 10:00:54
Total Duration: 0:40:42.016341
✅ Successfully created '/DATA/rohan_kirti/country/germany/SBQ/Results_SBQ.xlsx'
