Started at: 00:21:34
['C:\\Users\\nilad\\Documents\\country-dataset\\sudan\\IBQ\\IBQ_Sudan.xlsx']

-> Processing: C:\Users\nilad\Documents\country-dataset\sudan\IBQ\IBQ_Sudan.xlsx
[SAVED] -> IBQ | Horse_Racing | Row 0
[SAVED] -> IBQ | Nuba_Wrestling | Row 294
[SAVED] -> IBQ | Nuba_Wrestling | Row 295
[SAVED] -> IBQ | Nuba_Wrestling | Row 297
[SAVED] -> IBQ | Nuba_Wrestling | Row 298
[SAVED] -> IBQ | Nuba_Wrestling | Row 299
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 0
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 1
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 2
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 3
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 4
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 5
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 6
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 7
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 8
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 9
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 10
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 11
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 12
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 13
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 14
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 15
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 16
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 17
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 18
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 19
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 20
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 21
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 22
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 23
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 24
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 25
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 26
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 27
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 28
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 29
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 30
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 31
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 32
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 33
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 34
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 35
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 36
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 37
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 38
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 39
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 40
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 41
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 42
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 43
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 44
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 45
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 46
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 47
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 48
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 49
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 50
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 51
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 52
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 53
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 54
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 55
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 56
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 57
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 58
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 59
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 60
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 61
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 62
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 63
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 64
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 65
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 66
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 68
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 69
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 70
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 71
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 72
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 73
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 74
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 75
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 76
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 77
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 78
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 79
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 80
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 82
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 83
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 84
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 85
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 86
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 87
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 88
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 89
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 90
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 91
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 92
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 93
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 94
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 95
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 96
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 97
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 98
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 99
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 100
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 101
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 102
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 103
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 104
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 105
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 106
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 107
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 108
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 110
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 111
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 112
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 113
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 114
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 115
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 116
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 117
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 118
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 119
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 120
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 121
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 122
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 123
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 124
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 125
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 126
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 127
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 128
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 129
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 130
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 131
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 132
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 133
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 134
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 135
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 137
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 138
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 139
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 150
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 151
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 152
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 153
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 154
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 155
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 157
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 158
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 159
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 160
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 161
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 162
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 163
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 164
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 165
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 166
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 167
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 168
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 169
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 170
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 171
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 172
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 173
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 174
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 175
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 176
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 177
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 178
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 179
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 180
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 181
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 182
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 183
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 184
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 185
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 186
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 187
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 188
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 189
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 190
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 191
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 192
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 193
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 194
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 195
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 196
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 197
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 198
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 199
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 200
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 201
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 202
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 203
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 204
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 205
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 206
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 207
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 208
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 209
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 210
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 211
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 212
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 213
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 214
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 215
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 216
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 217
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 218
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 219
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 220
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 221
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 222
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 223
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 224
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 225
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 226
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 227
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 228
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 229
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 230
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 231
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 232
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 233
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 234
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 235
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 236
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 237
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 238
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 239
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 240
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 241
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 242
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 243
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 245
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 246
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 247
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 248
[SAVED] -> IBQ | Nubian_Stick_Fighting | Row 249

[COMPLETE]!
Live-updating CSV: Results_IBQ.csv
Ended at: 00:55:41
Total Duration: 0:34:06.559575
[SUCCESS] Successfully created 'Results_IBQ.xlsx'
